physical_acquisition_id,platform,acquired_utc,acquisition_local_date,relative_orbit,normalized_datatake_id,processing_baseline,generation_time,union_city_coverage_fraction,item_count,item_ids,mgrs_tiles
sentinel-2a|2021-07-12T18:29:21.024000Z|R27|GS2A_20210712T182921_031627,sentinel-2a,2021-07-12T18:29:21.024000Z,2021-07-12,27,GS2A_20210712T182921_031627,03.00,2021-07-13T13:52:22.274861Z,0.9999999999999992,2,S2A_MSIL2A_20210712T182921_R027_T11SLT_20210713T133202|S2A_MSIL2A_20210712T182921_R027_T11SLU_20210713T135222,11SLT|11SLU
sentinel-2a|2021-07-22T18:29:21.024000Z|R27|GS2A_20210722T182921_031770,sentinel-2a,2021-07-22T18:29:21.024000Z,2021-07-22,27,GS2A_20210722T182921_031770,03.00,2021-07-23T07:12:01.915101Z,0.9999999999999992,2,S2A_MSIL2A_20210722T182921_R027_T11SLT_20210723T071201|S2A_MSIL2A_20210722T182921_R027_T11SLU_20210723T053210,11SLT|11SLU
sentinel-2a|2021-08-01T18:29:21.024000Z|R27|GS2A_20210801T182921_031913,sentinel-2a,2021-08-01T18:29:21.024000Z,2021-08-01,27,GS2A_20210801T182921_031913,03.00,2021-08-02T09:23:55.486631Z,0.9999999999999992,2,S2A_MSIL2A_20210801T182921_R027_T11SLT_20210802T085137|S2A_MSIL2A_20210801T182921_R027_T11SLU_20210802T092355,11SLT|11SLU
sentinel-2a|2021-08-11T18:29:21.024000Z|R27|GS2A_20210811T182921_032056,sentinel-2a,2021-08-11T18:29:21.024000Z,2021-08-11,27,GS2A_20210811T182921_032056,03.00,2021-08-12T06:58:09.271070Z,0.9999999999999992,2,S2A_MSIL2A_20210811T182921_R027_T11SLT_20210812T065809|S2A_MSIL2A_20210811T182921_R027_T11SLU_20210812T053941,11SLT|11SLU
sentinel-2a|2021-08-21T18:29:21.024000Z|R27|GS2A_20210821T182921_032199,sentinel-2a,2021-08-21T18:29:21.024000Z,2021-08-21,27,GS2A_20210821T182921_032199,03.00,2021-08-22T10:49:53.875916Z,0.9999999999999992,2,S2A_MSIL2A_20210821T182921_R027_T11SLT_20210822T104953|S2A_MSIL2A_20210821T182921_R027_T11SLU_20210822T101254,11SLT|11SLU
sentinel-2a|2021-08-31T18:29:21.024000Z|R27|GS2A_20210831T182921_032342,sentinel-2a,2021-08-31T18:29:21.024000Z,2021-08-31,27,GS2A_20210831T182921_032342,03.00,2021-09-01T08:15:45.470582Z,0.9999999999999992,2,S2A_MSIL2A_20210831T182921_R027_T11SLT_20210901T081545|S2A_MSIL2A_20210831T182921_R027_T11SLU_20210901T074322,11SLT|11SLU
sentinel-2a|2021-09-10T18:29:21.024000Z|R27|GS2A_20210910T182921_032485,sentinel-2a,2021-09-10T18:29:21.024000Z,2021-09-10,27,GS2A_20210910T182921_032485,03.00,2021-09-11T11:07:49.166130Z,0.9999999999999992,2,S2A_MSIL2A_20210910T182921_R027_T11SLT_20210911T103901|S2A_MSIL2A_20210910T182921_R027_T11SLU_20210911T110749,11SLT|11SLU
sentinel-2a|2021-09-20T18:30:41.024000Z|R27|GS2A_20210920T183041_032628,sentinel-2a,2021-09-20T18:30:41.024000Z,2021-09-20,27,GS2A_20210920T183041_032628,03.00,2021-09-21T11:48:19.259747Z,0.9999999999999992,2,S2A_MSIL2A_20210920T183041_R027_T11SLT_20210921T112300|S2A_MSIL2A_20210920T183041_R027_T11SLU_20210921T114819,11SLT|11SLU
sentinel-2a|2021-09-30T18:31:51.024000Z|R27|GS2A_20210930T183151_032771,sentinel-2a,2021-09-30T18:31:51.024000Z,2021-09-30,27,GS2A_20210930T183151_032771,03.00,2021-10-02T02:31:32.389099Z,0.9999999999999992,2,S2A_MSIL2A_20210930T183151_R027_T11SLT_20211002T021811|S2A_MSIL2A_20210930T183151_R027_T11SLU_20211002T023132,11SLT|11SLU
sentinel-2a|2021-10-10T18:33:11.024000Z|R27|GS2A_20211010T183311_032914,sentinel-2a,2021-10-10T18:33:11.024000Z,2021-10-10,27,GS2A_20211010T183311_032914,03.00,2021-10-11T05:27:35.221384Z,0.9999999999999992,2,S2A_MSIL2A_20211010T183311_R027_T11SLT_20211011T052735|S2A_MSIL2A_20211010T183311_R027_T11SLU_20211011T041515,11SLT|11SLU
sentinel-2a|2021-10-20T18:34:11.024000Z|R27|GS2A_20211020T183411_033057,sentinel-2a,2021-10-20T18:34:11.024000Z,2021-10-20,27,GS2A_20211020T183411_033057,03.00,2021-10-22T06:32:33.469492Z,0.9997203415832034,1,S2A_MSIL2A_20211020T183411_R027_T11SLT_20211022T063233,11SLT
sentinel-2a|2022-03-09T18:32:11.024000Z|R27|GS2A_20220309T183211_035059,sentinel-2a,2022-03-09T18:32:11.024000Z,2022-03-09,27,GS2A_20220309T183211_035059,04.00,2022-03-10T16:54:10.899222Z,0.9999999999999992,2,S2A_MSIL2A_20220309T183211_R027_T11SLT_20220310T141706|S2A_MSIL2A_20220309T183211_R027_T11SLU_20220310T165410,11SLT|11SLU
sentinel-2a|2022-03-19T18:31:01.024000Z|R27|GS2A_20220319T183101_035202,sentinel-2a,2022-03-19T18:31:01.024000Z,2022-03-19,27,GS2A_20220319T183101_035202,04.00,2022-03-20T04:37:01.507896Z,0.9999999999999992,2,S2A_MSIL2A_20220319T183101_R027_T11SLT_20220320T043701|S2A_MSIL2A_20220319T183101_R027_T11SLU_20220320T035653,11SLT|11SLU
sentinel-2a|2022-03-29T18:29:51.024000Z|R27|GS2A_20220329T182951_035345,sentinel-2a,2022-03-29T18:29:51.024000Z,2022-03-29,27,GS2A_20220329T182951_035345,05.10,2024-06-01T17:00:32Z,0.9999999999999992,2,S2A_MSIL2A_20220329T182951_R027_T11SLT_20240601T170032|S2A_MSIL2A_20220329T182951_R027_T11SLU_20240601T170032,11SLT|11SLU
sentinel-2a|2022-04-08T18:29:21.024000Z|R27|GS2A_20220408T182921_035488,sentinel-2a,2022-04-08T18:29:21.024000Z,2022-04-08,27,GS2A_20220408T182921_035488,05.10,2024-06-02T22:52:43Z,0.9999999999999992,2,S2A_MSIL2A_20220408T182921_R027_T11SLT_20240602T225243|S2A_MSIL2A_20220408T182921_R027_T11SLU_20240602T225243,11SLT|11SLU
sentinel-2a|2022-04-18T18:29:21.024000Z|R27|GS2A_20220418T182921_035631,sentinel-2a,2022-04-18T18:29:21.024000Z,2022-04-18,27,GS2A_20220418T182921_035631,05.10,2024-06-07T21:43:00Z,0.9999999999999992,2,S2A_MSIL2A_20220418T182921_R027_T11SLT_20240607T214300|S2A_MSIL2A_20220418T182921_R027_T11SLU_20240607T214300,11SLT|11SLU
sentinel-2a|2022-04-28T18:29:21.024000Z|R27|GS2A_20220428T182921_035774,sentinel-2a,2022-04-28T18:29:21.024000Z,2022-04-28,27,GS2A_20220428T182921_035774,04.00,2022-04-29T18:28:00.331482Z,0.9999999999999992,2,S2A_MSIL2A_20220428T182921_R027_T11SLT_20220429T182800|S2A_MSIL2A_20220428T182921_R027_T11SLU_20220429T173742,11SLT|11SLU
sentinel-2a|2022-05-08T18:29:21.024000Z|R27|GS2A_20220508T182921_035917,sentinel-2a,2022-05-08T18:29:21.024000Z,2022-05-08,27,GS2A_20220508T182921_035917,05.10,2024-06-19T02:19:45Z,0.9999999999999992,2,S2A_MSIL2A_20220508T182921_R027_T11SLT_20240619T021945|S2A_MSIL2A_20220508T182921_R027_T11SLU_20240619T021945,11SLT|11SLU
sentinel-2a|2022-05-18T18:29:21.024000Z|R27|GS2A_20220518T182921_036060,sentinel-2a,2022-05-18T18:29:21.024000Z,2022-05-18,27,GS2A_20220518T182921_036060,04.00,2022-05-20T14:45:04.671829Z,0.9999999999999992,2,S2A_MSIL2A_20220518T182921_R027_T11SLT_20220520T144504|S2A_MSIL2A_20220518T182921_R027_T11SLU_20220520T142627,11SLT|11SLU
sentinel-2a|2022-05-28T18:29:31.024000Z|R27|GS2A_20220528T182931_036203,sentinel-2a,2022-05-28T18:29:31.024000Z,2022-05-28,27,GS2A_20220528T182931_036203,05.10,2024-06-16T15:27:31Z,0.9999999999999992,2,S2A_MSIL2A_20220528T182931_R027_T11SLT_20240616T152731|S2A_MSIL2A_20220528T182931_R027_T11SLU_20240616T152731,11SLT|11SLU
sentinel-2a|2022-06-07T18:29:31.024000Z|R27|GS2A_20220607T182931_036346,sentinel-2a,2022-06-07T18:29:31.024000Z,2022-06-07,27,GS2A_20220607T182931_036346,04.00,2022-06-08T11:09:01.390371Z,0.9999999999999992,2,S2A_MSIL2A_20220607T182931_R027_T11SLT_20220608T110901|S2A_MSIL2A_20220607T182931_R027_T11SLU_20220608T100106,11SLT|11SLU
sentinel-2a|2022-06-17T18:29:31.024000Z|R27|GS2A_20220617T182931_036489,sentinel-2a,2022-06-17T18:29:31.024000Z,2022-06-17,27,GS2A_20220617T182931_036489,04.00,2022-06-19T23:48:48.816852Z,0.9999999999999992,2,S2A_MSIL2A_20220617T182931_R027_T11SLT_20220619T233756|S2A_MSIL2A_20220617T182931_R027_T11SLU_20220619T234848,11SLT|11SLU
sentinel-2a|2022-06-27T18:29:31.024000Z|R27|GS2A_20220627T182931_036632,sentinel-2a,2022-06-27T18:29:31.024000Z,2022-06-27,27,GS2A_20220627T182931_036632,04.00,2022-06-28T12:27:11.148697Z,0.9999999999999992,2,S2A_MSIL2A_20220627T182931_R027_T11SLT_20220628T122711|S2A_MSIL2A_20220627T182931_R027_T11SLU_20220628T113235,11SLT|11SLU
sentinel-2a|2022-07-07T18:29:31.024000Z|R27|GS2A_20220707T182931_036775,sentinel-2a,2022-07-07T18:29:31.024000Z,2022-07-07,27,GS2A_20220707T182931_036775,04.00,2022-07-08T15:20:21.277173Z,0.9999999999999992,2,S2A_MSIL2A_20220707T182931_R027_T11SLT_20220708T132515|S2A_MSIL2A_20220707T182931_R027_T11SLU_20220708T152021,11SLT|11SLU
sentinel-2a|2022-07-17T18:29:31.024000Z|R27|GS2A_20220717T182931_036918,sentinel-2a,2022-07-17T18:29:31.024000Z,2022-07-17,27,GS2A_20220717T182931_036918,04.00,2022-07-18T08:26:20.653698Z,0.9999999999999992,2,S2A_MSIL2A_20220717T182931_R027_T11SLT_20220718T082620|S2A_MSIL2A_20220717T182931_R027_T11SLU_20220718T075522,11SLT|11SLU
sentinel-2a|2022-07-27T18:29:31.024000Z|R27|GS2A_20220727T182931_037061,sentinel-2a,2022-07-27T18:29:31.024000Z,2022-07-27,27,GS2A_20220727T182931_037061,04.00,2022-07-29T08:04:12.682647Z,0.9999999999999992,2,S2A_MSIL2A_20220727T182931_R027_T11SLT_20220729T065006|S2A_MSIL2A_20220727T182931_R027_T11SLU_20220729T080412,11SLT|11SLU
sentinel-2a|2022-08-06T18:29:31.024000Z|R27|GS2A_20220806T182931_037204,sentinel-2a,2022-08-06T18:29:31.024000Z,2022-08-06,27,GS2A_20220806T182931_037204,04.00,2022-08-08T06:09:49.905101Z,0.9999999999999992,2,S2A_MSIL2A_20220806T182931_R027_T11SLT_20220808T060949|S2A_MSIL2A_20220806T182931_R027_T11SLU_20220808T053926,11SLT|11SLU
sentinel-2a|2022-08-16T18:29:31.024000Z|R27|GS2A_20220816T182931_037347,sentinel-2a,2022-08-16T18:29:31.024000Z,2022-08-16,27,GS2A_20220816T182931_037347,05.10,2024-07-18T16:10:28Z,0.9999999999999992,2,S2A_MSIL2A_20220816T182931_R027_T11SLT_20240718T161028|S2A_MSIL2A_20220816T182931_R027_T11SLU_20240718T161028,11SLT|11SLU
sentinel-2a|2022-08-26T18:29:31.024000Z|R27|GS2A_20220826T182931_037490,sentinel-2a,2022-08-26T18:29:31.024000Z,2022-08-26,27,GS2A_20220826T182931_037490,05.10,2024-07-18T14:20:36Z,0.9999999999999992,2,S2A_MSIL2A_20220826T182931_R027_T11SLT_20240718T142036|S2A_MSIL2A_20220826T182931_R027_T11SLU_20240718T142036,11SLT|11SLU
sentinel-2a|2022-09-05T18:29:31.024000Z|R27|GS2A_20220905T182931_037633,sentinel-2a,2022-09-05T18:29:31.024000Z,2022-09-05,27,GS2A_20220905T182931_037633,05.10,2024-07-27T04:50:55Z,0.9999999999999992,2,S2A_MSIL2A_20220905T182931_R027_T11SLT_20240727T045055|S2A_MSIL2A_20220905T182931_R027_T11SLU_20240727T045055,11SLT|11SLU
